objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Costs_[MEUR],G&Wp,average,20,13,40.0,0.11,00_00_13_00
Municipality_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],G&Wp,average,60,1,120.0,0.21,00_00_01_00
Municipality_Costs_[MEUR],G&Wp,average,60,3,120.0,0.21,00_00_03_00
Municipality_Costs_[MEUR],G&Wp,average,60,5,140.0,0.25,00_00_05_00
Municipality_Costs_[MEUR],G&Wp,average,60,7,360.0,0.64,00_00_07_00
Municipality_Costs_[MEUR],G&Wp,average,60,9,160.0,0.27,00_00_09_00
Municipality_Costs_[MEUR],G&Wp,average,60,11,180.0,0.32,00_00_11_00
Municipality_Costs_[MEUR],G&Wp,average,60,13,250.0,0.44,00_00_13_00
Municipality_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],G&Wp,average,100,1,190.0,0.26,00_00_01_00
Municipality_Costs_[MEUR],G&Wp,average,100,3,190.0,0.25,00_00_03_00
Municipality_Costs_[MEUR],G&Wp,average,100,5,150.0,0.2,00_00_05_00
Municipality_Costs_[MEUR],G&Wp,average,100,7,380.0,0.52,00_00_07_00
Municipality_Costs_[MEUR],G&Wp,average,100,9,160.0,0.22,00_00_09_00
Municipality_Costs_[MEUR],G&Wp,average,100,11,390.0,0.53,00_00_11_00
Municipality_Costs_[MEUR],G&Wp,average,100,13,480.0,0.66,00_00_13_00
Municipality_Costs_[MEUR],Wp,average,20,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],Wp,average,20,1,30.0,0.06,00_00_01_00
Municipality_Costs_[MEUR],Wp,average,20,3,30.0,0.08,00_00_03_00
Municipality_Costs_[MEUR],Wp,average,20,5,60.0,0.17,00_00_05_00
Municipality_Costs_[MEUR],Wp,average,20,7,150.0,0.44,00_00_07_00
Municipality_Costs_[MEUR],Wp,average,20,9,80.0,0.22,00_00_09_00
Municipality_Costs_[MEUR],Wp,average,20,11,30.0,0.07,00_00_11_00
Municipality_Costs_[MEUR],Wp,average,20,13,40.0,0.11,00_00_13_00
Municipality_Costs_[MEUR],Wp,average,60,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],Wp,average,60,1,130.0,0.22,00_00_01_00
Municipality_Costs_[MEUR],Wp,average,60,3,120.0,0.22,00_00_03_00
Municipality_Costs_[MEUR],Wp,average,60,5,140.0,0.25,00_00_05_00
Municipality_Costs_[MEUR],Wp,average,60,7,360.0,0.64,00_00_07_00
Municipality_Costs_[MEUR],Wp,average,60,9,160.0,0.27,00_00_09_00
Municipality_Costs_[MEUR],Wp,average,60,11,190.0,0.33,00_00_11_00
Municipality_Costs_[MEUR],Wp,average,60,13,260.0,0.46,00_00_13_00
Municipality_Costs_[MEUR],Wp,average,100,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],Wp,average,100,1,190.0,0.26,00_00_01_00
Municipality_Costs_[MEUR],Wp,average,100,3,180.0,0.25,00_00_03_00
Municipality_Costs_[MEUR],Wp,average,100,5,160.0,0.2,00_00_05_00
Municipality_Costs_[MEUR],Wp,average,100,7,380.0,0.52,00_00_07_00
Municipality_Costs_[MEUR],Wp,average,100,9,170.0,0.22,00_00_09_00
Municipality_Costs_[MEUR],Wp,average,100,11,380.0,0.52,00_00_11_00
Municipality_Costs_[MEUR],Wp,average,100,13,470.0,0.64,00_00_13_00
Impacted_Buildings_[#],D,average,20,0,640.0,0.95,00_00_00_00
Impacted_Buildings_[#],D,average,20,1,630.0,0.92,00_00_01_00
Impacted_Buildings_[#],D,average,20,3,600.0,0.88,00_00_03_00
Impacted_Buildings_[#],D,average,20,5,200.0,0.29,00_00_05_00
Impacted_Buildings_[#],D,average,20,7,220.0,0.32,00_00_07_00
Impacted_Buildings_[#],D,average,20,9,200.0,0.29,00_00_09_00
Impacted_Buildings_[#],D,average,20,11,640.0,0.95,00_00_11_00
Impacted_Buildings_[#],D,average,20,13,580.0,0.87,00_00_13_00
Impacted_Buildings_[#],D,average,60,0,2070.0,0.88,00_00_00_00
Impacted_Buildings_[#],D,average,60,1,1760.0,0.74,00_00_01_00
Impacted_Buildings_[#],D,average,60,3,1720.0,0.73,00_00_03_00
Impacted_Buildings_[#],D,average,60,5,700.0,0.29,00_00_05_00
Impacted_Buildings_[#],D,average,60,7,910.0,0.38,00_00_07_00
Impacted_Buildings_[#],D,average,60,9,660.0,0.28,00_00_09_00
Impacted_Buildings_[#],D,average,60,11,1890.0,0.8,00_00_11_00
Impacted_Buildings_[#],D,average,60,13,1670.0,0.7,00_00_13_00
Impacted_Buildings_[#],D,average,100,0,3200.0,0.82,00_00_00_00
Impacted_Buildings_[#],D,average,100,1,2060.0,0.52,00_00_01_00
Impacted_Buildings_[#],D,average,100,3,2010.0,0.51,00_00_03_00
Impacted_Buildings_[#],D,average,100,5,740.0,0.19,00_00_05_00
