objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,D&Wp,average,20,08,6.82,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,09,0.59,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,01,44.0,0.44,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,03,42.93,0.43,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,05,75.56,0.76,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,06,59.03,0.59,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,07,40.81,0.41,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,08,30.78,0.31,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,09,45.08,0.45,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,01,98.98,0.55,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,03,97.91,0.54,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,05,144.23,0.8,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,06,121.44,0.67,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,07,81.82,0.45,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,08,68.81,0.38,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,09,116.15,0.65,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,20,01,2.48,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,20,03,5.16,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,20,05,9.22,0.37,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,20,06,7.18,0.29,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,20,07,7.75,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,20,08,6.67,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,20,09,0.53,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,60,01,37.21,0.37,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,60,03,36.7,0.37,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,60,05,75.09,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,60,06,53.34,0.53,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,60,07,25.59,0.26,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,60,08,19.69,0.2,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,60,09,40.73,0.41,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,100,01,92.43,0.51,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,100,03,91.92,0.51,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,100,05,142.16,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,100,06,113.78,0.63,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,100,07,43.48,0.24,00_07_00_00
