objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Farmer_Drought_Measure_Costs,Wp,average,60,06,67.68,0.67,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,07,58.91,0.59,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,08,45.48,0.45,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,60,09,53.36,0.53,00_09_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,01,120.09,0.67,00_01_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,03,119.39,0.66,00_03_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,05,152.36,0.85,00_05_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,06,133.56,0.74,00_06_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,07,126.77,0.71,00_07_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,08,111.95,0.62,00_08_00_00
Farmer_Drought_Measure_Costs,Wp,average,100,09,126.32,0.7,00_09_00_00
