objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Costs_[MEUR],D&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,60,1,1400.0,0.65,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,60,2,770.0,0.35,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,60,4,800.0,0.37,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,60,5,1370.0,0.64,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,100,1,2010.0,0.61,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,100,2,1230.0,0.37,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,100,4,1280.0,0.39,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,100,5,2080.0,0.63,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],G,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,20,1,550.0,0.42,00_00_00_01
Shipping_Costs_[MEUR],G,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],G,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],G,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],G,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],G,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],G,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],G,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,60,1,1090.0,0.51,00_00_00_01
Shipping_Costs_[MEUR],G,average,60,2,90.0,0.04,00_00_00_02
Shipping_Costs_[MEUR],G,average,60,4,150.0,0.07,00_00_00_04
Shipping_Costs_[MEUR],G,average,60,5,580.0,0.27,00_00_00_05
Shipping_Costs_[MEUR],G,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],G,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],G,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],G,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,100,1,1550.0,0.47,00_00_00_01
Shipping_Costs_[MEUR],G,average,100,2,160.0,0.05,00_00_00_02
Shipping_Costs_[MEUR],G,average,100,4,260.0,0.08,00_00_00_04
Shipping_Costs_[MEUR],G,average,100,5,1070.0,0.32,00_00_00_05
Shipping_Costs_[MEUR],G,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],G,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],G,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,20,1,600.0,0.46,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],G&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,60,1,1400.0,0.65,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,60,2,770.0,0.35,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,60,4,800.0,0.37,00_00_00_04
