objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Structural_Damage,D&Wp,average,20,00,739.88,0.96,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,20,01,720.18,0.93,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,20,03,685.26,0.88,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,20,05,206.82,0.27,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,20,07,231.44,0.3,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,20,09,206.82,0.27,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,20,11,738.43,0.96,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,20,13,680.02,0.88,00_00_13_00
Municipality_Structural_Damage,D&Wp,average,60,00,2768.37,0.82,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,60,01,2319.54,0.68,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,60,03,2267.41,0.67,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,60,05,840.55,0.25,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,60,07,1055.83,0.31,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,60,09,785.79,0.23,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,60,11,2510.77,0.74,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,60,13,2157.39,0.64,00_00_13_00
Municipality_Structural_Damage,D&Wp,average,100,00,4288.62,0.6,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,100,01,2512.83,0.35,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,100,03,2457.37,0.35,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,100,05,881.43,0.12,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,100,07,1127.12,0.16,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,100,09,805.43,0.11,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,100,11,3059.13,0.43,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,100,13,2472.73,0.35,00_00_13_00
Municipality_Structural_Damage,G,average,20,00,722.89,0.91,00_00_00_00
