objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,Wp,average,100,01,182.32,0.26,00_00_01_00
Municipality_Measure_Costs,Wp,average,100,03,176.14,0.25,00_00_03_00
Municipality_Measure_Costs,Wp,average,100,05,150.12,0.2,00_00_05_00
Municipality_Measure_Costs,Wp,average,100,07,371.66,0.52,00_00_07_00
Municipality_Measure_Costs,Wp,average,100,09,160.44,0.22,00_00_09_00
Municipality_Measure_Costs,Wp,average,100,11,371.63,0.51,00_00_11_00
Municipality_Measure_Costs,Wp,average,100,13,456.32,0.63,00_00_13_00
Municipality_Structural_Damage,D,average,20,00,633.25,0.94,00_00_00_00
Municipality_Structural_Damage,D,average,20,01,619.81,0.92,00_00_01_00
Municipality_Structural_Damage,D,average,20,03,588.52,0.88,00_00_03_00
Municipality_Structural_Damage,D,average,20,05,192.89,0.29,00_00_05_00
Municipality_Structural_Damage,D,average,20,07,217.35,0.32,00_00_07_00
Municipality_Structural_Damage,D,average,20,09,192.89,0.29,00_00_09_00
Municipality_Structural_Damage,D,average,20,11,632.48,0.94,00_00_11_00
Municipality_Structural_Damage,D,average,20,13,576.65,0.86,00_00_13_00
Municipality_Structural_Damage,D,average,60,00,2044.43,0.86,00_00_00_00
Municipality_Structural_Damage,D,average,60,01,1747.88,0.74,00_00_01_00
Municipality_Structural_Damage,D,average,60,03,1708.4,0.72,00_00_03_00
Municipality_Structural_Damage,D,average,60,05,694.55,0.29,00_00_05_00
Municipality_Structural_Damage,D,average,60,07,894.65,0.38,00_00_07_00
Municipality_Structural_Damage,D,average,60,09,652.15,0.28,00_00_09_00
Municipality_Structural_Damage,D,average,60,11,1873.67,0.79,00_00_11_00
Municipality_Structural_Damage,D,average,60,13,1654.97,0.7,00_00_13_00
Municipality_Structural_Damage,D,average,100,00,3169.17,0.81,00_00_00_00
Municipality_Structural_Damage,D,average,100,01,2055.31,0.52,00_00_01_00
Municipality_Structural_Damage,D,average,100,03,2008.78,0.51,00_00_03_00
Municipality_Structural_Damage,D,average,100,05,738.51,0.19,00_00_05_00
Municipality_Structural_Damage,D,average,100,07,987.04,0.25,00_00_07_00
Municipality_Structural_Damage,D,average,100,09,652.15,0.17,00_00_09_00
Municipality_Structural_Damage,D,average,100,11,2547.7,0.65,00_00_11_00
Municipality_Structural_Damage,D,average,100,13,2127.86,0.54,00_00_13_00
Municipality_Structural_Damage,D&G,average,20,00,678.07,0.93,00_00_00_00
Municipality_Structural_Damage,D&G,average,20,01,662.51,0.9,00_00_01_00
Municipality_Structural_Damage,D&G,average,20,03,630.05,0.86,00_00_03_00
Municipality_Structural_Damage,D&G,average,20,05,206.62,0.28,00_00_05_00
Municipality_Structural_Damage,D&G,average,20,07,231.18,0.32,00_00_07_00
Municipality_Structural_Damage,D&G,average,20,09,206.62,0.28,00_00_09_00
Municipality_Structural_Damage,D&G,average,20,11,677.11,0.93,00_00_11_00
Municipality_Structural_Damage,D&G,average,20,13,615.59,0.84,00_00_13_00
Municipality_Structural_Damage,D&G,average,60,00,2286.08,0.84,00_00_00_00
Municipality_Structural_Damage,D&G,average,60,01,1939.93,0.72,00_00_01_00
Municipality_Structural_Damage,D&G,average,60,03,1893.81,0.7,00_00_03_00
Municipality_Structural_Damage,D&G,average,60,05,752.18,0.28,00_00_05_00
Municipality_Structural_Damage,D&G,average,60,07,954.12,0.35,00_00_07_00
Municipality_Structural_Damage,D&G,average,60,09,709.08,0.26,00_00_09_00
Municipality_Structural_Damage,D&G,average,60,11,2074.95,0.77,00_00_11_00
Municipality_Structural_Damage,D&G,average,60,13,1846.82,0.68,00_00_13_00
Municipality_Structural_Damage,D&G,average,100,00,3637.26,0.75,00_00_00_00
Municipality_Structural_Damage,D&G,average,100,01,2225.03,0.46,00_00_01_00
Municipality_Structural_Damage,D&G,average,100,03,2174.3,0.45,00_00_03_00
Municipality_Structural_Damage,D&G,average,100,05,797.68,0.16,00_00_05_00
Municipality_Structural_Damage,D&G,average,100,07,1021.91,0.21,00_00_07_00
Municipality_Structural_Damage,D&G,average,100,09,709.08,0.15,00_00_09_00
Municipality_Structural_Damage,D&G,average,100,11,2701.09,0.56,00_00_11_00
Municipality_Structural_Damage,D&G,average,100,13,2256.95,0.46,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,20,00,718.36,0.92,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,20,01,700.83,0.9,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,20,03,666.46,0.86,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,20,05,210.08,0.27,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,20,07,234.74,0.3,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,20,09,210.08,0.27,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,20,11,717.16,0.92,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,20,13,651.07,0.84,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,60,00,2660.4,0.81,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,60,01,2237.46,0.68,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,60,03,2184.06,0.67,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,60,05,829.86,0.25,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,60,07,1036.74,0.32,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,60,09,778.76,0.24,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,60,11,2407.11,0.73,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,60,13,2087.71,0.64,00_00_13_00
Municipality_Structural_Damage,D&G&Wp,average,100,00,4169.06,0.62,00_00_00_00
Municipality_Structural_Damage,D&G&Wp,average,100,01,2460.26,0.37,00_00_01_00
Municipality_Structural_Damage,D&G&Wp,average,100,03,2403.78,0.36,00_00_03_00
Municipality_Structural_Damage,D&G&Wp,average,100,05,872.79,0.13,00_00_05_00
Municipality_Structural_Damage,D&G&Wp,average,100,07,1099.69,0.16,00_00_07_00
Municipality_Structural_Damage,D&G&Wp,average,100,09,791.85,0.12,00_00_09_00
Municipality_Structural_Damage,D&G&Wp,average,100,11,2971.78,0.44,00_00_11_00
Municipality_Structural_Damage,D&G&Wp,average,100,13,2420.66,0.36,00_00_13_00
Municipality_Structural_Damage,D&Wp,average,20,00,716.09,0.92,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,20,01,698.64,0.9,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,20,03,663.88,0.86,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,20,05,204.94,0.27,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,20,07,229.61,0.3,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,20,09,204.94,0.27,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,20,11,714.88,0.92,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,20,13,649.34,0.84,00_00_13_00
Municipality_Structural_Damage,D&Wp,average,60,00,2726.74,0.8,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,60,01,2290.2,0.68,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,60,03,2236.47,0.66,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,60,05,839.88,0.25,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,60,07,1048.31,0.31,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,60,09,785.12,0.23,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,60,11,2472.55,0.73,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,60,13,2112.23,0.62,00_00_13_00
Municipality_Structural_Damage,D&Wp,average,100,00,4200.91,0.59,00_00_00_00
Municipality_Structural_Damage,D&Wp,average,100,01,2493.01,0.35,00_00_01_00
Municipality_Structural_Damage,D&Wp,average,100,03,2435.76,0.34,00_00_03_00
Municipality_Structural_Damage,D&Wp,average,100,05,880.76,0.12,00_00_05_00
Municipality_Structural_Damage,D&Wp,average,100,07,1121.14,0.16,00_00_07_00
Municipality_Structural_Damage,D&Wp,average,100,09,804.76,0.11,00_00_09_00
Municipality_Structural_Damage,D&Wp,average,100,11,3030.43,0.43,00_00_11_00
Municipality_Structural_Damage,D&Wp,average,100,13,2437.97,0.34,00_00_13_00
Municipality_Structural_Damage,G,average,20,00,722.89,0.91,00_00_00_00
Municipality_Structural_Damage,G,average,20,01,705.21,0.88,00_00_01_00
Municipality_Structural_Damage,G,average,20,03,671.6,0.85,00_00_03_00
Municipality_Structural_Damage,G,average,20,05,220.34,0.28,00_00_05_00
Municipality_Structural_Damage,G,average,20,07,245.02,0.31,00_00_07_00
Municipality_Structural_Damage,G,average,20,09,220.34,0.28,00_00_09_00
Municipality_Structural_Damage,G,average,20,11,721.73,0.91,00_00_11_00
Municipality_Structural_Damage,G,average,20,13,654.53,0.82,00_00_13_00
Municipality_Structural_Damage,G,average,60,00,2527.72,0.83,00_00_00_00
Municipality_Structural_Damage,G,average,60,01,2131.98,0.7,00_00_01_00
Municipality_Structural_Damage,G,average,60,03,2079.22,0.68,00_00_03_00
Municipality_Structural_Damage,G,average,60,05,809.82,0.27,00_00_05_00
Municipality_Structural_Damage,G,average,60,07,1013.59,0.33,00_00_07_00
Municipality_Structural_Damage,G,average,60,09,766.02,0.25,00_00_09_00
Municipality_Structural_Damage,G,average,60,11,2276.23,0.75,00_00_11_00
Municipality_Structural_Damage,G,average,60,13,2038.67,0.67,00_00_13_00
Municipality_Structural_Damage,G,average,100,00,4105.35,0.71,00_00_00_00
Municipality_Structural_Damage,G,average,100,01,2394.75,0.42,00_00_01_00
Municipality_Structural_Damage,G,average,100,03,2339.83,0.4,00_00_03_00
Municipality_Structural_Damage,G,average,100,05,856.85,0.15,00_00_05_00
Municipality_Structural_Damage,G,average,100,07,1056.77,0.18,00_00_07_00
Municipality_Structural_Damage,G,average,100,09,766.02,0.13,00_00_09_00
Municipality_Structural_Damage,G,average,100,11,2854.49,0.49,00_00_11_00
Municipality_Structural_Damage,G,average,100,13,2386.05,0.41,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,20,00,760.92,0.91,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,20,01,741.34,0.89,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,20,03,705.42,0.84,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,20,05,218.67,0.26,00_00_05_00
