objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Farmer_Flood_Measure_Costs,Wp,average,60,09,68.13,0.19,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,11,37.67,0.11,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,60,13,71.54,0.2,13_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,01,50.08,0.1,01_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,03,47.91,0.1,03_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,05,113.12,0.23,05_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,07,112.19,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,09,177.39,0.35,09_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,11,120.93,0.24,11_00_00_00
Farmer_Flood_Measure_Costs,Wp,average,100,13,102.44,0.21,13_00_00_00
Farmer_Structural_Damage,D,average,20,00,27.6,0.74,00_00_00_00
Farmer_Structural_Damage,D,average,20,01,27.46,0.74,01_00_00_00
Farmer_Structural_Damage,D,average,20,03,27.16,0.73,03_00_00_00
Farmer_Structural_Damage,D,average,20,05,22.62,0.61,05_00_00_00
Farmer_Structural_Damage,D,average,20,07,22.62,0.61,07_00_00_00
Farmer_Structural_Damage,D,average,20,09,26.7,0.72,09_00_00_00
Farmer_Structural_Damage,D,average,20,11,27.46,0.74,11_00_00_00
Farmer_Structural_Damage,D,average,20,13,27.6,0.74,13_00_00_00
Farmer_Structural_Damage,D,average,60,00,90.35,0.69,00_00_00_00
Farmer_Structural_Damage,D,average,60,01,88.86,0.68,01_00_00_00
Farmer_Structural_Damage,D,average,60,03,86.89,0.66,03_00_00_00
Farmer_Structural_Damage,D,average,60,05,59.53,0.45,05_00_00_00
Farmer_Structural_Damage,D,average,60,07,57.48,0.44,07_00_00_00
Farmer_Structural_Damage,D,average,60,09,86.38,0.66,09_00_00_00
Farmer_Structural_Damage,D,average,60,11,88.43,0.67,11_00_00_00
Farmer_Structural_Damage,D,average,60,13,85.44,0.65,13_00_00_00
